team,conference,color,alt_color,logo
Indiana,Big Ten,#7D110C,#eeedeb,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Indiana (PA),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png
Indianapolis,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2292.png
Indiana State,,#00669a,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/282.png
Iowa,Big Ten,#000000,#ffe100,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Iowa State,Big 12,#660015,#830b2c,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Iowa Wesleyan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2295.png
Ithaca,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/175.png
Jackson State,,#123297,#b5b7ba,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png
Jacksonville,,#00523e,,http://a.espncdn.com/i/teamlogos/ncaa/500/294.png
Jacksonville State,,#b50500,#b5b7ba,http://a.espncdn.com/i/teamlogos/ncaa/500/55.png
James Madison,,#450084,#cbb778,http://a.espncdn.com/i/teamlogos/ncaa/500/256.png
Jamestown,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2939.png
John Carroll,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2302.png
Johns Hopkins,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/118.png
Johnson C Smith,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2304.png
Juniata,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/246.png
Kalamazoo,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/126.png
Kansas,Big 12,#0022B4,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas State,Big 12,#633194,#e7d2ad,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Kansas Wesleyan University,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/547.png
Kennesaw State,,#000000,#fdbb30,http://a.espncdn.com/i/teamlogos/ncaa/500/338.png
Kent State,Mid-American,#002445,#f0b510,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
Kentucky,SEC,#005DAA,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Kentucky State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2310.png
Kentucky Wesleyan,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2316.png
